x,F(x),f(x)
-4.000000,-0.653644,-0.756802
-3.990000,-0.661179,-0.750228
-3.980000,-0.668648,-0.743579
-3.970000,-0.676050,-0.736856
-3.960000,-0.683385,-0.730058
-3.950000,-0.690651,-0.723188
-3.940000,-0.697848,-0.716246
-3.930000,-0.704976,-0.709231
-3.920000,-0.712033,-0.702146
-3.910000,-0.719018,-0.694991
-3.900000,-0.725932,-0.687766
-3.890000,-0.732774,-0.680473
-3.880000,-0.739542,-0.673111
-3.870000,-0.746236,-0.665682
-3.860000,-0.752855,-0.658186
-3.850000,-0.759399,-0.650625
-3.840000,-0.765867,-0.642999
-3.830000,-0.772259,-0.635308
-3.820000,-0.778573,-0.627554
-3.810000,-0.784810,-0.619737
-3.800000,-0.790968,-0.611858
-3.790000,-0.797047,-0.603918
-3.780000,-0.803046,-0.595917
-3.770000,-0.808965,-0.587857
-3.760000,-0.814803,-0.579738
-3.750000,-0.820559,-0.571561
-3.740000,-0.826234,-0.563327
-3.730000,-0.831826,-0.555037
-3.720000,-0.837334,-0.546691
-3.710000,-0.842759,-0.538291
-3.700000,-0.848100,-0.529836
-3.690000,-0.853356,-0.521329
-3.680000,-0.858526,-0.512769
-3.670000,-0.863611,-0.504159
-3.660000,-0.868609,-0.495497
-3.650000,-0.873521,-0.486787
-3.640000,-0.878345,-0.478027
-3.630000,-0.883081,-0.469220
-3.620000,-0.887729,-0.460366
-3.610000,-0.892288,-0.451466
-3.600000,-0.896758,-0.442520
-3.590000,-0.901139,-0.433531
-3.580000,-0.905429,-0.424498
-3.570000,-0.909629,-0.415423
-3.560000,-0.913737,-0.406306
-3.550000,-0.917755,-0.397148
-3.540000,-0.921680,-0.387951
-3.530000,-0.925513,-0.378715
-3.520000,-0.929254,-0.369441
-3.510000,-0.932902,-0.360130
-3.500000,-0.936457,-0.350783
-3.490000,-0.939918,-0.341401
-3.480000,-0.943285,-0.331985
-3.470000,-0.946557,-0.322536
-3.460000,-0.949735,-0.313054
-3.450000,-0.952818,-0.303542
-3.440000,-0.955806,-0.293998
-3.430000,-0.958698,-0.284426
-3.420000,-0.961494,-0.274825
-3.410000,-0.964194,-0.265196
-3.400000,-0.966798,-0.255541
-3.390000,-0.969305,-0.245860
-3.380000,-0.971715,-0.236155
-3.370000,-0.974028,-0.226427
-3.360000,-0.976244,-0.216675
-3.350000,-0.978362,-0.206902
-3.340000,-0.980382,-0.197108
-3.330000,-0.982304,-0.187295
-3.320000,-0.984128,-0.177462
-3.310000,-0.985853,-0.167612
-3.300000,-0.987480,-0.157746
-3.290000,-0.989008,-0.147863
-3.280000,-0.990437,-0.137966
-3.270000,-0.991767,-0.128055
-3.260000,-0.992998,-0.118131
-3.250000,-0.994130,-0.108195
-3.240000,-0.995162,-0.098249
-3.230000,-0.996095,-0.088292
-3.220000,-0.996928,-0.078327
-3.210000,-0.997661,-0.068354
-3.200000,-0.998295,-0.058374
-3.190000,-0.998829,-0.048388
-3.180000,-0.999263,-0.038398
-3.170000,-0.999597,-0.028404
-3.160000,-0.999831,-0.018406
-3.150000,-0.999965,-0.008407
-3.140000,-0.999999,0.001593
-3.130000,-0.999933,0.011592
-3.120000,-0.999767,0.021591
-3.110000,-0.999501,0.031587
-3.100000,-0.999135,0.041581
-3.090000,-0.998669,0.051570
-3.080000,-0.998104,0.061554
-3.070000,-0.997438,0.071532
-3.060000,-0.996673,0.081502
-3.050000,-0.995808,0.091465
-3.040000,-0.994844,0.101418
-3.030000,-0.993780,0.111361
-3.020000,-0.992617,0.121293
-3.010000,-0.991354,0.131213
-3.000000,-0.989992,0.141120
-2.990000,-0.988532,0.151013
-2.980000,-0.986972,0.160890
-2.970000,-0.985314,0.170752
-2.960000,-0.983557,0.180596
-2.950000,-0.981702,0.190423
-2.940000,-0.979749,0.200230
-2.930000,-0.977698,0.210017
-2.920000,-0.975549,0.219784
-2.910000,-0.973302,0.229528
-2.900000,-0.970958,0.239249
-2.890000,-0.968517,0.248947
-2.880000,-0.965979,0.258619
-2.870000,-0.963345,0.268266
-2.860000,-0.960614,0.277886
-2.850000,-0.957787,0.287478
-2.840000,-0.954865,0.297041
-2.830000,-0.951847,0.306575
-2.820000,-0.948733,0.316078
-2.810000,-0.945525,0.325549
-2.800000,-0.942222,0.334988
-2.790000,-0.938825,0.344393
-2.780000,-0.935335,0.353764
-2.770000,-0.931750,0.363100
-2.760000,-0.928073,0.372399
-2.750000,-0.924302,0.381661
-2.740000,-0.920440,0.390885
-2.730000,-0.916485,0.400069
-2.720000,-0.912438,0.409214
-2.710000,-0.908301,0.418318
-2.700000,-0.904072,0.427380
-2.690000,-0.899753,0.436399
-2.680000,-0.895344,0.445375
-2.670000,-0.890846,0.454306
-2.660000,-0.886258,0.463191
-2.650000,-0.881582,0.472031
-2.640000,-0.876818,0.480823
-2.630000,-0.871966,0.489567
-2.620000,-0.867027,0.498262
-2.610000,-0.862001,0.506907
-2.600000,-0.856889,0.515501
-2.590000,-0.851691,0.524044
-2.580000,-0.846408,0.532535
-2.570000,-0.841040,0.540972
-2.560000,-0.835589,0.549355
-2.550000,-0.830054,0.557684
-2.540000,-0.824435,0.565956
-2.530000,-0.818735,0.574172
-2.520000,-0.812952,0.582331
-2.510000,-0.807088,0.590431
-2.500000,-0.801144,0.598472
-2.490000,-0.795119,0.606454
-2.480000,-0.789015,0.614374
-2.470000,-0.782832,0.622234
-2.460000,-0.776570,0.630031
-2.450000,-0.770231,0.637765
-2.440000,-0.763815,0.645435
-2.430000,-0.757323,0.653041
-2.420000,-0.750755,0.660581
-2.410000,-0.744111,0.668056
-2.400000,-0.737394,0.675463
-2.390000,-0.730602,0.682803
-2.380000,-0.723738,0.690075
-2.370000,-0.716801,0.697278
-2.360000,-0.709793,0.704411
-2.350000,-0.702713,0.711473
-2.340000,-0.695563,0.718465
-2.330000,-0.688344,0.725384
-2.320000,-0.681056,0.732231
-2.310000,-0.673700,0.739005
-2.300000,-0.666276,0.745705
-2.290000,-0.658786,0.752331
-2.280000,-0.651230,0.758881
-2.270000,-0.643608,0.765355
-2.260000,-0.635923,0.771753
-2.250000,-0.628174,0.778073
-2.240000,-0.620362,0.784316
-2.230000,-0.612488,0.790480
-2.220000,-0.604552,0.796565
-2.210000,-0.596557,0.802571
-2.200000,-0.588501,0.808496
-2.190000,-0.580387,0.814341
-2.180000,-0.572215,0.820104
-2.170000,-0.563985,0.825785
-2.160000,-0.555699,0.831383
-2.150000,-0.547358,0.836899
-2.140000,-0.538961,0.842330
-2.130000,-0.530511,0.847678
-2.120000,-0.522008,0.852940
-2.110000,-0.513453,0.858118
-2.100000,-0.504846,0.863209
-2.090000,-0.496189,0.868215
-2.080000,-0.487482,0.873133
-2.070000,-0.478727,0.877964
-2.060000,-0.469923,0.882707
-2.050000,-0.461073,0.887362
-2.040000,-0.452176,0.891929
-2.030000,-0.443234,0.896406
-2.020000,-0.434248,0.900793
-2.010000,-0.425219,0.905091
-2.000000,-0.416147,0.909297
-1.990000,-0.407033,0.913413
-1.980000,-0.397879,0.917438
-1.970000,-0.388685,0.921371
-1.960000,-0.379452,0.925212
-1.950000,-0.370181,0.928960
-1.940000,-0.360873,0.932615
-1.930000,-0.351529,0.936177
-1.920000,-0.342150,0.939645
-1.910000,-0.332736,0.943020
-1.900000,-0.323290,0.946300
-1.890000,-0.313811,0.949486
-1.880000,-0.304300,0.952576
-1.870000,-0.294759,0.955572
-1.860000,-0.285189,0.958471
-1.850000,-0.275590,0.961275
-1.840000,-0.265964,0.963983
-1.830000,-0.256311,0.966594
-1.820000,-0.246632,0.969109
-1.810000,-0.236929,0.971527
-1.800000,-0.227202,0.973848
-1.790000,-0.217452,0.976071
-1.780000,-0.207681,0.978197
-1.770000,-0.197889,0.980224
-1.760000,-0.188077,0.982154
-1.750000,-0.178246,0.983986
-1.740000,-0.168397,0.985719
-1.730000,-0.158532,0.987354
-1.720000,-0.148651,0.988890
-1.710000,-0.138755,0.990327
-1.700000,-0.128844,0.991665
-1.690000,-0.118922,0.992904
-1.680000,-0.108987,0.994043
-1.670000,-0.099041,0.995083
-1.660000,-0.089085,0.996024
-1.650000,-0.079121,0.996865
-1.640000,-0.069148,0.997606
-1.630000,-0.059169,0.998248
-1.620000,-0.049184,0.998790
-1.610000,-0.039194,0.999232
-1.600000,-0.029200,0.999574
-1.590000,-0.019202,0.999816
-1.580000,-0.009204,0.999958
-1.570000,0.000796,1.000000
-1.560000,0.010796,0.999942
-1.550000,0.020795,0.999784
-1.540000,0.030791,0.999526
-1.530000,0.040785,0.999168
-1.520000,0.050774,0.998710
-1.510000,0.060759,0.998152
-1.500000,0.070737,0.997495
-1.490000,0.080708,0.996738
-1.480000,0.090672,0.995881
-1.470000,0.100626,0.994924
-1.460000,0.110570,0.993868
-1.450000,0.120503,0.992713
-1.440000,0.130424,0.991458
-1.430000,0.140332,0.990105
-1.420000,0.150225,0.988652
-1.410000,0.160104,0.987100
-1.400000,0.169967,0.985450
-1.390000,0.179813,0.983701
-1.380000,0.189641,0.981854
-1.370000,0.199450,0.979908
-1.360000,0.209239,0.977865
-1.350000,0.219007,0.975723
-1.340000,0.228753,0.973485
-1.330000,0.238476,0.971148
-1.320000,0.248175,0.968715
-1.310000,0.257850,0.966185
-1.300000,0.267499,0.963558
-1.290000,0.277121,0.960835
-1.280000,0.286715,0.958016
-1.270000,0.296281,0.955101
-1.260000,0.305817,0.952090
-1.250000,0.315322,0.948985
-1.240000,0.324796,0.945784
-1.230000,0.334238,0.942489
-1.220000,0.343646,0.939099
-1.210000,0.353019,0.935616
-1.200000,0.362358,0.932039
-1.190000,0.371660,0.928369
-1.180000,0.380925,0.924606
-1.170000,0.390152,0.920751
-1.160000,0.399340,0.916803
-1.150000,0.408487,0.912764
-1.140000,0.417595,0.908633
-1.130000,0.426660,0.904412
-1.120000,0.435682,0.900100
-1.110000,0.444662,0.895699
-1.100000,0.453596,0.891207
-1.090000,0.462485,0.886627
-1.080000,0.471328,0.881958
-1.070000,0.480124,0.877201
-1.060000,0.488872,0.872355
-1.050000,0.497571,0.867423
-1.040000,0.506220,0.862404
-1.030000,0.514819,0.857299
-1.020000,0.523366,0.852108
-1.010000,0.531861,0.846832
-1.000000,0.540302,0.841471
-0.990000,0.548690,0.836026
-0.980000,0.557023,0.830497
-0.970000,0.565300,0.824886
-0.960000,0.573520,0.819192
-0.950000,0.581683,0.813416
-0.940000,0.589788,0.807558
-0.930000,0.597834,0.801620
-0.920000,0.605820,0.795602
-0.910000,0.613746,0.789504
-0.900000,0.621610,0.783327
-0.890000,0.629412,0.777072
-0.880000,0.637151,0.770739
-0.870000,0.644827,0.764329
-0.860000,0.652437,0.757843
-0.850000,0.659983,0.751280
-0.840000,0.667463,0.744643
-0.830000,0.674876,0.737931
-0.820000,0.682221,0.731146
-0.810000,0.689498,0.724287
-0.800000,0.696707,0.717356
-0.790000,0.703845,0.710353
-0.780000,0.710914,0.703279
-0.770000,0.717911,0.696135
-0.760000,0.724836,0.688921
-0.750000,0.731689,0.681639
-0.740000,0.738469,0.674288
-0.730000,0.745174,0.666870
-0.720000,0.751806,0.659385
-0.710000,0.758362,0.651834
-0.700000,0.764842,0.644218
-0.690000,0.771246,0.636537
-0.680000,0.777573,0.628793
-0.670000,0.783822,0.620986
-0.660000,0.789992,0.613117
-0.650000,0.796084,0.605186
-0.640000,0.802096,0.597195
-0.630000,0.808028,0.589145
-0.620000,0.813878,0.581035
-0.610000,0.819648,0.572867
-0.600000,0.825336,0.564642
-0.590000,0.830941,0.556361
-0.580000,0.836463,0.548024
-0.570000,0.841901,0.539632
-0.560000,0.847255,0.531186
-0.550000,0.852525,0.522687
-0.540000,0.857709,0.514136
-0.530000,0.862807,0.505533
-0.520000,0.867819,0.496880
-0.510000,0.872745,0.488177
-0.500000,0.877583,0.479426
-0.490000,0.882333,0.470626
-0.480000,0.886995,0.461779
-0.470000,0.891568,0.452886
-0.460000,0.896052,0.443948
-0.450000,0.900447,0.434966
-0.440000,0.904752,0.425939
-0.430000,0.908966,0.416871
-0.420000,0.913089,0.407760
-0.410000,0.917121,0.398609
-0.400000,0.921061,0.389418
-0.390000,0.924909,0.380188
-0.380000,0.928665,0.370920
-0.370000,0.932327,0.361615
-0.360000,0.935897,0.352274
-0.350000,0.939373,0.342898
-0.340000,0.942755,0.333487
-0.330000,0.946042,0.324043
-0.320000,0.949235,0.314567
-0.310000,0.952334,0.305059
-0.300000,0.955336,0.295520
-0.290000,0.958244,0.285952
-0.280000,0.961055,0.276356
-0.270000,0.963771,0.266731
-0.260000,0.966390,0.257081
-0.250000,0.968912,0.247404
-0.240000,0.971338,0.237703
-0.230000,0.973666,0.227978
-0.220000,0.975897,0.218230
-0.210000,0.978031,0.208460
-0.200000,0.980067,0.198669
-0.190000,0.982004,0.188859
-0.180000,0.983844,0.179030
-0.170000,0.985585,0.169182
-0.160000,0.987227,0.159318
-0.150000,0.988771,0.149438
-0.140000,0.990216,0.139543
-0.130000,0.991562,0.129634
-0.120000,0.992809,0.119712
-0.110000,0.993956,0.109778
-0.100000,0.995004,0.099833
-0.090000,0.995953,0.089879
-0.080000,0.996802,0.079915
-0.070000,0.997551,0.069943
-0.060000,0.998201,0.059964
-0.050000,0.998750,0.049979
-0.040000,0.999200,0.039989
-0.030000,0.999550,0.029995
-0.020000,0.999800,0.019999
-0.010000,0.999950,0.010000
0.000000,1.000000,0.000000
0.010000,0.999950,-0.010000
0.020000,0.999800,-0.019999
0.030000,0.999550,-0.029996
0.040000,0.999200,-0.039989
0.050000,0.998750,-0.049979
0.060000,0.998201,-0.059964
0.070000,0.997551,-0.069943
0.080000,0.996802,-0.079915
0.090000,0.995953,-0.089879
0.100000,0.995004,-0.099833
0.110000,0.993956,-0.109778
0.120000,0.992809,-0.119712
0.130000,0.991562,-0.129634
0.140000,0.990216,-0.139543
0.150000,0.988771,-0.149438
0.160000,0.987227,-0.159318
0.170000,0.985585,-0.169182
0.180000,0.983844,-0.179030
0.190000,0.982004,-0.188859
0.200000,0.980067,-0.198669
0.210000,0.978031,-0.208460
0.220000,0.975897,-0.218230
0.230000,0.973666,-0.227978
0.240000,0.971338,-0.237703
0.250000,0.968912,-0.247404
0.260000,0.966390,-0.257081
0.270000,0.963771,-0.266731
0.280000,0.961055,-0.276356
0.290000,0.958244,-0.285952
0.300000,0.955336,-0.295520
0.310000,0.952334,-0.305059
0.320000,0.949235,-0.314567
0.330000,0.946042,-0.324043
0.340000,0.942755,-0.333487
0.350000,0.939373,-0.342898
0.360000,0.935897,-0.352274
0.370000,0.932327,-0.361615
0.380000,0.928665,-0.370920
0.390000,0.924909,-0.380188
0.400000,0.921061,-0.389418
0.410000,0.917121,-0.398609
0.420000,0.913089,-0.407760
0.430000,0.908966,-0.416871
0.440000,0.904752,-0.425939
0.450000,0.900447,-0.434966
0.460000,0.896052,-0.443948
0.470000,0.891568,-0.452886
0.480000,0.886995,-0.461779
0.490000,0.882333,-0.470626
0.500000,0.877583,-0.479426
0.510000,0.872745,-0.488177
0.520000,0.867819,-0.496880
0.530000,0.862807,-0.505533
0.540000,0.857709,-0.514136
0.550000,0.852525,-0.522687
0.560000,0.847255,-0.531186
0.570000,0.841901,-0.539632
0.580000,0.836463,-0.548024
0.590000,0.830941,-0.556361
0.600000,0.825336,-0.564642
0.610000,0.819648,-0.572867
0.620000,0.813878,-0.581035
0.630000,0.808028,-0.589145
0.640000,0.802096,-0.597195
0.650000,0.796084,-0.605186
0.660000,0.789992,-0.613117
0.670000,0.783822,-0.620986
0.680000,0.777573,-0.628793
0.690000,0.771246,-0.636537
0.700000,0.764842,-0.644218
0.710000,0.758362,-0.651834
0.720000,0.751806,-0.659385
0.730000,0.745174,-0.666870
0.740000,0.738469,-0.674288
0.750000,0.731689,-0.681639
0.760000,0.724836,-0.688921
0.770000,0.717911,-0.696135
0.780000,0.710914,-0.703279
0.790000,0.703845,-0.710353
0.800000,0.696707,-0.717356
0.810000,0.689498,-0.724287
0.820000,0.682221,-0.731146
0.830000,0.674876,-0.737931
0.840000,0.667463,-0.744643
0.850000,0.659983,-0.751280
0.860000,0.652437,-0.757843
0.870000,0.644827,-0.764329
0.880000,0.637151,-0.770739
0.890000,0.629412,-0.777072
0.900000,0.621610,-0.783327
0.910000,0.613746,-0.789504
0.920000,0.605820,-0.795602
0.930000,0.597834,-0.801620
0.940000,0.589788,-0.807558
0.950000,0.581683,-0.813416
0.960000,0.573520,-0.819192
0.970000,0.565300,-0.824886
0.980000,0.557023,-0.830497
0.990000,0.548690,-0.836026
1.000000,0.540302,-0.841471
1.010000,0.531861,-0.846832
1.020000,0.523366,-0.852108
1.030000,0.514819,-0.857299
1.040000,0.506220,-0.862404
1.050000,0.497571,-0.867423
1.060000,0.488872,-0.872355
1.070000,0.480124,-0.877201
1.080000,0.471328,-0.881958
1.090000,0.462485,-0.886627
1.100000,0.453596,-0.891207
1.110000,0.444662,-0.895699
1.120000,0.435682,-0.900100
1.130000,0.426660,-0.904412
1.140000,0.417595,-0.908633
1.150000,0.408487,-0.912764
1.160000,0.399340,-0.916803
1.170000,0.390152,-0.920751
1.180000,0.380925,-0.924606
1.190000,0.371660,-0.928369
1.200000,0.362358,-0.932039
1.210000,0.353019,-0.935616
1.220000,0.343646,-0.939099
1.230000,0.334238,-0.942489
1.240000,0.324796,-0.945784
1.250000,0.315322,-0.948985
1.260000,0.305817,-0.952090
1.270000,0.296281,-0.955101
1.280000,0.286715,-0.958016
1.290000,0.277121,-0.960835
1.300000,0.267499,-0.963558
1.310000,0.257850,-0.966185
1.320000,0.248175,-0.968715
1.330000,0.238476,-0.971148
1.340000,0.228753,-0.973485
1.350000,0.219007,-0.975723
1.360000,0.209239,-0.977865
1.370000,0.199450,-0.979908
1.380000,0.189641,-0.981854
1.390000,0.179813,-0.983701
1.400000,0.169967,-0.985450
1.410000,0.160104,-0.987100
1.420000,0.150225,-0.988652
1.430000,0.140332,-0.990105
1.440000,0.130424,-0.991458
1.450000,0.120503,-0.992713
1.460000,0.110570,-0.993868
1.470000,0.100626,-0.994924
1.480000,0.090672,-0.995881
1.490000,0.080708,-0.996738
1.500000,0.070737,-0.997495
1.510000,0.060759,-0.998152
1.520000,0.050774,-0.998710
1.530000,0.040785,-0.999168
1.540000,0.030791,-0.999526
1.550000,0.020795,-0.999784
1.560000,0.010796,-0.999942
1.570000,0.000796,-1.000000
1.580000,-0.009204,-0.999958
1.590000,-0.019202,-0.999816
1.600000,-0.029200,-0.999574
1.610000,-0.039194,-0.999232
1.620000,-0.049184,-0.998790
1.630000,-0.059169,-0.998248
1.640000,-0.069148,-0.997606
1.650000,-0.079121,-0.996865
1.660000,-0.089085,-0.996024
1.670000,-0.099041,-0.995083
1.680000,-0.108987,-0.994043
1.690000,-0.118922,-0.992904
1.700000,-0.128844,-0.991665
1.710000,-0.138755,-0.990327
1.720000,-0.148651,-0.988890
1.730000,-0.158532,-0.987354
1.740000,-0.168397,-0.985719
1.750000,-0.178246,-0.983986
1.760000,-0.188077,-0.982154
1.770000,-0.197889,-0.980224
1.780000,-0.207681,-0.978197
1.790000,-0.217452,-0.976071
1.800000,-0.227202,-0.973848
1.810000,-0.236929,-0.971527
1.820000,-0.246632,-0.969109
1.830000,-0.256311,-0.966594
1.840000,-0.265964,-0.963983
1.850000,-0.275590,-0.961275
1.860000,-0.285189,-0.958471
1.870000,-0.294759,-0.955572
1.880000,-0.304300,-0.952576
1.890000,-0.313811,-0.949486
1.900000,-0.323290,-0.946300
1.910000,-0.332736,-0.943020
1.920000,-0.342150,-0.939645
1.930000,-0.351529,-0.936177
1.940000,-0.360873,-0.932615
1.950000,-0.370181,-0.928960
1.960000,-0.379452,-0.925212
1.970000,-0.388685,-0.921371
1.980000,-0.397879,-0.917438
1.990000,-0.407033,-0.913413
2.000000,-0.416147,-0.909297
2.010000,-0.425219,-0.905091
2.020000,-0.434248,-0.900793
2.030000,-0.443234,-0.896406
2.040000,-0.452176,-0.891929
2.050000,-0.461073,-0.887362
2.060000,-0.469923,-0.882707
2.070000,-0.478727,-0.877964
2.080000,-0.487482,-0.873133
2.090000,-0.496189,-0.868215
2.100000,-0.504846,-0.863209
2.110000,-0.513453,-0.858118
2.120000,-0.522008,-0.852940
2.130000,-0.530511,-0.847678
2.140000,-0.538961,-0.842330
2.150000,-0.547358,-0.836899
2.160000,-0.555699,-0.831383
2.170000,-0.563985,-0.825785
2.180000,-0.572215,-0.820104
2.190000,-0.580387,-0.814341
2.200000,-0.588501,-0.808496
2.210000,-0.596557,-0.802571
2.220000,-0.604552,-0.796565
2.230000,-0.612488,-0.790480
2.240000,-0.620362,-0.784316
2.250000,-0.628174,-0.778073
2.260000,-0.635923,-0.771753
2.270000,-0.643608,-0.765355
2.280000,-0.651230,-0.758881
2.290000,-0.658786,-0.752331
2.300000,-0.666276,-0.745705
2.310000,-0.673700,-0.739005
2.320000,-0.681056,-0.732231
2.330000,-0.688344,-0.725384
2.340000,-0.695563,-0.718465
2.350000,-0.702713,-0.711473
2.360000,-0.709793,-0.704411
2.370000,-0.716801,-0.697278
2.380000,-0.723738,-0.690075
2.390000,-0.730602,-0.682803
2.400000,-0.737394,-0.675463
2.410000,-0.744111,-0.668056
2.420000,-0.750755,-0.660581
2.430000,-0.757323,-0.653041
2.440000,-0.763815,-0.645435
2.450000,-0.770231,-0.637765
2.460000,-0.776570,-0.630031
2.470000,-0.782832,-0.622234
2.480000,-0.789015,-0.614374
2.490000,-0.795119,-0.606454
2.500000,-0.801144,-0.598472
2.510000,-0.807088,-0.590431
2.520000,-0.812952,-0.582331
2.530000,-0.818735,-0.574172
2.540000,-0.824435,-0.565956
2.550000,-0.830054,-0.557684
2.560000,-0.835589,-0.549355
2.570000,-0.841040,-0.540972
2.580000,-0.846408,-0.532535
2.590000,-0.851691,-0.524044
2.600000,-0.856889,-0.515501
2.610000,-0.862001,-0.506907
2.620000,-0.867027,-0.498262
2.630000,-0.871966,-0.489567
2.640000,-0.876818,-0.480823
2.650000,-0.881582,-0.472031
2.660000,-0.886258,-0.463191
2.670000,-0.890846,-0.454306
2.680000,-0.895344,-0.445375
2.690000,-0.899753,-0.436399
2.700000,-0.904072,-0.427380
2.710000,-0.908301,-0.418318
2.720000,-0.912438,-0.409214
2.730000,-0.916485,-0.400069
2.740000,-0.920440,-0.390885
2.750000,-0.924302,-0.381661
2.760000,-0.928073,-0.372399
2.770000,-0.931750,-0.363100
2.780000,-0.935335,-0.353764
2.790000,-0.938825,-0.344393
2.800000,-0.942222,-0.334988
2.810000,-0.945525,-0.325549
2.820000,-0.948733,-0.316078
2.830000,-0.951847,-0.306575
2.840000,-0.954865,-0.297041
2.850000,-0.957787,-0.287478
2.860000,-0.960614,-0.277886
2.870000,-0.963345,-0.268266
2.880000,-0.965979,-0.258619
2.890000,-0.968517,-0.248947
2.900000,-0.970958,-0.239249
2.910000,-0.973302,-0.229528
2.920000,-0.975549,-0.219784
2.930000,-0.977698,-0.210017
2.940000,-0.979749,-0.200230
2.950000,-0.981702,-0.190423
2.960000,-0.983557,-0.180596
2.970000,-0.985314,-0.170752
2.980000,-0.986972,-0.160890
2.990000,-0.988532,-0.151013
3.000000,-0.989992,-0.141120
3.010000,-0.991354,-0.131213
3.020000,-0.992617,-0.121293
3.030000,-0.993780,-0.111361
3.040000,-0.994844,-0.101418
3.050000,-0.995808,-0.091465
3.060000,-0.996673,-0.081502
3.070000,-0.997438,-0.071532
3.080000,-0.998104,-0.061554
3.090000,-0.998669,-0.051570
3.100000,-0.999135,-0.041581
3.110000,-0.999501,-0.031587
3.120000,-0.999767,-0.021591
3.130000,-0.999933,-0.011592
3.140000,-0.999999,-0.001593
3.150000,-0.999965,0.008407
3.160000,-0.999831,0.018406
3.170000,-0.999597,0.028404
3.180000,-0.999263,0.038398
3.190000,-0.998829,0.048388
3.200000,-0.998295,0.058374
3.210000,-0.997661,0.068354
3.220000,-0.996928,0.078327
3.230000,-0.996095,0.088292
3.240000,-0.995162,0.098249
3.250000,-0.994130,0.108195
3.260000,-0.992998,0.118131
3.270000,-0.991767,0.128055
3.280000,-0.990437,0.137966
3.290000,-0.989008,0.147863
3.300000,-0.987480,0.157746
3.310000,-0.985853,0.167612
3.320000,-0.984128,0.177462
3.330000,-0.982304,0.187295
3.340000,-0.980382,0.197108
3.350000,-0.978362,0.206902
3.360000,-0.976244,0.216675
3.370000,-0.974028,0.226427
3.380000,-0.971715,0.236155
3.390000,-0.969305,0.245861
3.400000,-0.966798,0.255541
3.410000,-0.964194,0.265196
3.420000,-0.961494,0.274825
3.430000,-0.958698,0.284426
3.440000,-0.955806,0.293998
3.450000,-0.952818,0.303542
3.460000,-0.949735,0.313054
3.470000,-0.946557,0.322536
3.480000,-0.943285,0.331985
3.490000,-0.939918,0.341401
3.500000,-0.936457,0.350783
3.510000,-0.932902,0.360130
3.520000,-0.929254,0.369441
3.530000,-0.925513,0.378715
3.540000,-0.921680,0.387951
3.550000,-0.917755,0.397148
3.560000,-0.913737,0.406306
3.570000,-0.909629,0.415423
3.580000,-0.905429,0.424498
3.590000,-0.901139,0.433531
3.600000,-0.896758,0.442520
3.610000,-0.892288,0.451466
3.620000,-0.887729,0.460366
3.630000,-0.883081,0.469220
3.640000,-0.878345,0.478027
3.650000,-0.873521,0.486787
3.660000,-0.868609,0.495497
3.670000,-0.863611,0.504159
3.680000,-0.858526,0.512769
3.690000,-0.853356,0.521329
3.700000,-0.848100,0.529836
3.710000,-0.842759,0.538291
3.720000,-0.837334,0.546691
3.730000,-0.831826,0.555037
3.740000,-0.826234,0.563327
3.750000,-0.820559,0.571561
3.760000,-0.814803,0.579738
3.770000,-0.808965,0.587857
3.780000,-0.803046,0.595917
3.790000,-0.797047,0.603918
3.800000,-0.790968,0.611858
3.810000,-0.784810,0.619737
3.820000,-0.778573,0.627554
3.830000,-0.772259,0.635308
3.840000,-0.765867,0.642999
3.850000,-0.759399,0.650625
3.860000,-0.752855,0.658186
3.870000,-0.746236,0.665682
3.880000,-0.739542,0.673111
3.890000,-0.732774,0.680473
3.900000,-0.725932,0.687766
3.910000,-0.719018,0.694991
3.920000,-0.712033,0.702146
3.930000,-0.704976,0.709231
3.940000,-0.697848,0.716246
3.950000,-0.690651,0.723188
3.960000,-0.683385,0.730058
3.970000,-0.676050,0.736856
3.980000,-0.668648,0.743579
3.990000,-0.661179,0.750228
